category,keywords,question,answer
행정,출결,개인적인 사정으로 며칠간 오후 1시부터 수업참여가 가능한데 이 경우에 사유를 매일 남겨야하는지와 오후 1시에 수업에 참여하게 되면 지각처리 되는 것이 맞는지 궁금합니다.,"사유는 매번 출결정정쓰레드(매일 새롭게 개설되는)에 남겨주세요. 그리고, 13시 이후 출결이기 때문에 출결 QR을 찍으실 때 따로 말씀을 꼭 주셔야 합니다. 전체 수업시간 8시간 중 50% 초과 시 결석처리 될 예정이라는 점 참고 부탁드립니다."
행정,"지각, QR",제가 오늘 수업에 늦어서 멋사 홈페이지에서 입실 QR코드가 안 뜨는데 어떻게 하나요? 출결정정 쓰레드에 글만 작성하면 되나요?,쓰레드에 ‘지각’으로 글 작성해주시면 부트캠프 담당자(보조강사)님이 DM으로 상시 QR을 전달해드릴 예정입니다.
행정,훈련장려금,훈련장려금의 수령은 1단위기간이 끝나는 시점의 2주 후에 받는 것이 맞나요?,첫 훈련장려금(1단위 훈련장려금)의 경우 처리 시 시간이 조금 더 걸릴 수 있다는 점 양해 부탁드립니다. 최대 3~4주 걸릴 수도 있다는 점 참고해주세요.
행정,"자격증, 출결",취업에 관한 자격증 시험으로 인한 결석은 출석인정 처리가 되는 것인가요?,"프로그래밍 관련 공인 자격 시험의 경우 출석인정처리가 됩니다. 예를 들어, 정보처리기사와 같은 자격시험은 시험응시확인증을 제출해주시면 출결처리 도와드릴 예정입니다. 증빙서류는 반드시 출결정정가이드를 참고하여 구글폼으로 제출해주시고 제출 가능 일자는 사유발생일 기준 3일 내 입니다."
행정,공결,AWS에서 시행하는 자격증은 출석 인정이 안되는 것인가요?,국가공인자격시험이 아닌 경우에는 인정이 불가합니다. 참고 부탁드립니다.
행정,출결,혹시 점심시간 이후 조금 늦게 복귀할수도있는경우 출결 쓰레드에 미리 써놓고 가야할까요 아니면 다녀와서 작성하면 될까요?,가능한 미리 작성해주시면 감사하겠습니다.
행정,출결,면접 관련 출결정정 증빙서류 양식이 있을까요?,"면접 참여 증빙서류의 경우 기업명, 직인, 참여일자/시간 등이 나와야 인정되며 면접참석확인서를 기업에 요청 부탁드립니다."
행정,출결,점심시간에 줌과 디스코드를 잠시 나가야 하는데 이런 경우 출결 쓰레드에 남기면 될까요?,"네, 쓰레드에 남겨주시면 참고하겠습니다."
행정,"병결, 출결",내일 병원을 갔다와야 할 것 같은데 출결채널에 내용 올리고 진단서 같은거 발급 받아서 증빙하면 될까요?,병원 다녀오시고 증빙자료는 내일자 출결 쓰레드에 사유와 증빙자료 제출 여부 포함하여 남겨주시면 됩니다.
행정,출결,출석(출결 정정) 증빙자료는 출결 가이드에 있는 구글폼으로 보내드리면 될까요?,"네, 그렇게 해주시면 됩니다."
운영,"외출, 출결",외출 신청 시 출결서식 올리고 zoom 계속 켜놔야하나요? 아니면 퇴실했다가 다시 Zoom에 들어오면 되나요?,외출시 줌은 카메라OFF 혹은 퇴실 중 편하신 방법으로 선택해주세요.
운영,"조퇴, 출결, QR",조퇴는 QR 따로 찍을 필요 없나요?,조퇴 또한 반드시 QR을 찍고 퇴실해주셔야 하며 출결정정 스레드에 댓글 남겨주시면 해당 시간에 상시 QR 전달드리겠습니다.
행정,예비군,"예비군에 참여하고 증빙자료로 예비군에 대한 교육필증을 제출하였는데, 아직 결석으로 처리되고 있습니다. 혹시 확인 부탁드려도 될까요?",출결정정 반영은 최소 3일에서 최대 14일까지 소요될 수 있음을 안내드립니다.
교육,웹캠,노트북 수리를 보내야해서 현재 웹캠이 없는데 오늘만 데스크탑으로 수업을 들어도 될까요?,"네, 데스크탑으로 수업 들으시고, 웹캠사용이 어려우시면 휴대폰으로 이중접속 부탁드립니다."
교육,줌,"제가 줌이 종종 혼자꺼지는 경우가 있는데, 혹시 내일 그런 경우가 발생하면 출결정정 스레드에 로그 남기면 문제없나요?","가급적 줌 자동 종료가 발생하지 않는 방향으로 해주시는게 강의 들으시는데 도움이 될 것 같습니다. 계속 신경쓰시면 오히려 스트레스 받으실 수도 있으니, 재설치를 권장드립니다. 재설치 이후에도 같은 현상이 발생하시면 출결정정 스레드에 꼭 남겨주세요."
교육,"LMS, VOD",멋사 LMS VOD 수업 관련하여 질문 드립니다. VOD 수업을 일시정지 시켜놓은 시간도 강의 수강 시간에 포함하여 산정되나요?,수강시간에 일시정지 시켜놓은 시간은 포함되지 않으니 참고해주세요. 중간중간 코드를 작성하는 등의 일시정지하는 경우는 시간 산정이 됩니다.
교육,"LMS, VOD",제공해주신 LMS VOD 강의를 주말에 복습하고 싶은데 오늘 이후로는 강의를 볼수 없다고 들어서요 혹시 재수강이 안되는 이유가 있을까요?,내부 규정 상 LMS VOD 강의는 오픈된 특정 날짜에만 수강이 가능하십니다. 가급적이면 특정 날짜에 전부 수강해주시고 복습하고 싶으신 내용은 벨로그에 적어주시면 더욱 좋지 않을까 생각합니다
행정,"출결, 외출",어제 외출한거 병원 증빙 자료를 제출했었는데 반영이 안된 것 같습니다. 언제 반영되나요?,증빙자료 제출 시 바로 반영되는 것이 아니라 승인이 되어야해서 조금 시간이 소요된 후 반영됩니다. 제출하신 증빙자료는 정상적으로 확인했으니 조금만 시간을 가지고 기다려주시면 출결에 반영될 예정입니다.
행정,"국민취업제도, 출결","국민취업지원 상담이 3번 필수라고 하는데, 평일 아침 9시~오후 4시까지 상담을 진행해야 한다고 합니다. 증빙자료로 제출할 것은 따로 없고 상담중이라는 확인증 같은 것만 있다고 하는데, 그냥 외출로 처리해도 되는 걸까요?","해당 시간의 경우 50% 이상 수업을 빠지시게 되어, 결석으로 처리됩니다. 국민취업제도 외출의 경우 공가 증빙이 어렵기에 결석으로 처리된다는 점 참고부탁드립니다."
행정,훈련장려금,훈련장려금 수령 계좌는 그대로인데 예금주 이름만 변경된 경우에도 구글폼을 작성해야 할까요?,훈련장려금 계좌는 본인명의로 예금주 또한 본인의 성함과 동일해야 합니다.
행정,"QR,출결, 지각",제가 오늘 오전 9시 8분에 출석 QR을 찍었는데 혹시 지각으로 처리될까요?,수업 시작 후 10분 이내에 QR 찍으셨으면 지각 처리가 되지 않습니다.
교육,프로젝트,데모데이 발표회 발표자료는 ppt로 제출 시 pdf로 변환할 필요 없을까요?,폰트나 다른 내용들이 깨질 위험이 있다면 해당 ppt를 pdf로 변환하여 제출하시기를 권장드립니다.
행정,"증빙서류, 면접",면접에 대한 출결 증빙서류는 무엇이 필요한가요?,"면접 증빙서류는 성함, 회사 명, 면접 일시가 기재된 면접확인서로 증빙 가능하며, 면접확인서에 회사 직인 모두 포함되어야합니다."
행정,HRD-Net 어플 오류,HRD 어플이 안 들어가집니다. 어떻게 해야 할까요?,"먼저 휴대폰 재부팅 부탁드리고, 이후에도 동일한 문제 발생한다면 어플 삭제 후, 재설치 해주시길 바랍니다."
운영,"외출, 출결",외출 시 점심시간 1시간을 포함하여 5시간 외출한 경우 결석이 아닌 외출 처리되는 것이 맞을까요?,맞습니다. 점심시간 제외 4시간 미만 외출시 정상 외출로 처리됩니다.
운영,"외출, 병결, 출결","수업 중에 병원을 다녀왔는데, 처방전으로 증빙서류 제출하면 될까요?","처방전으로는 증빙이 인정되지 않습니다. 반드시 질병코드 or 병명이 기재된 진료확인서를 제출해주시고, 진료확인서 내에 병명이 기재되어있지 않다면 추가로 처방전까지 제출 해주세요."
운영,"조퇴, 출결",오늘 오후에 병원이 예약되어있어서 조퇴를 하려고 합니다. 어떻게 하면 되나요?,오늘자 출결 스레드에 출결상태: 조퇴 로 댓글 작성해주세요. 이후 전달드리는 QR 찍고 조퇴해주시면 됩니다.
교육,디스코드,혹시 과정 수료 이후에도 해당 디스코드 서버를 이용할 수 있나요?,"과정 수료 이후 디스코드 사용이 불가능할 예정입니다. 이는 디스코드 서버가 닫히진 않아 작성되어있는 내용들은 모두 확인이 가능하지만, 추가적인 글 작성이 불가능해질 예정입니다. 또한 수료 이후, 멋사 전 부트캠프의 수료생들이 참여하고 있는 세렝게티 디스코드 서버의 초대 링크가 전달될 예정이니 참고 부탁드립니다"
행정,"훈련장려금, 최종만족도설문",한 명이라도 최종 만족도 설문을 하지 않으면 모두가 훈련장려금이 지급되지 않는다는 말씀이 맞을까요? (마지막 단위기간),네 맞습니다. 마지막 단위기간은 모든 훈련생분들이 hrd-net 만족도 설문을 하지 않으면 훈련장려금이 지급되지 않습니다.
행정,훈련장려금,마지막 단위기간 훈련장려금 지급은 언제쯤 이뤄지나요?,"마지막 단위기간의 경우, 모든 수료생들의 HRD-Net 최종 만족도 조사가 완료된 후에 진행이 가능합니다. 현재 아직 모든 훈련생들의 만족도 조사가 완료되지 않아 신청이 진행되지 않아 지급까지 시간이 조금 더 소요될 것으로 보입니다. 모두 완료 시 바로 신청이 진행될 예정이고, 길다면 3~4주 정도 소요될 것 같습니다."
운영,"병결, 외출, 출결",병원 진료로 외출 나가는데 필요한 서류가 진단서인가요 진료확인서인가요?,"병결의 경우 병원 직인 또는 서명이 없는 진료확인서는 증빙서류로 인정이 어렵습니다. 반드시 병원 직인 또는 서명이 있는 진료 확인서, 입퇴원 확인서, 진단서 중 택 1로 제출해주세요. (병결 사용날짜, 개인정보, 병명 기재 필수)"
운영,공결,공결 처리가 어려운 병원 방문 사유가 있을까요?,"치료목적이 아닌 병원방문으로 공결신청을 하시면 공결 인정 처리가 불가능합니다. (예, 피부과-시술, 치과-교정치료, 정형외과-단순도수치료 등)"
운영,공결,"공결 증빙서류 내려고 하는데, 주민등록번호는 안 가려도 되나요?",공결신청 증빙 서류 제출시에 중요정보(주민번호 뒷자리 등)는 노출되지 않도록 반드시 가리고 업로드해주세요. 주민등록번호의 경우 본인 식별을 위해 생년월일이 필수로 보여야합니다. 주민등록번호는 생년월일을 제외한 뒷자리만 가려주세요
운영,공결,공결 신청 관련한 구글폼은 언제까지 제출하면 되나요?,"공결신청의 경우 사유발생일 다음날까지만 시스템에서 신청이 가능하여, 구글폼 미제출시 공결 처리가 어렵습니다. 공결신청은 사유발생일 당일 ~ 다음날 오후 1시 전까지 반드시 구글폼을 통해 기한내 신청 부탁드립니다."
운영,공결,공결 관련 증빙자료는 언제까지 제출하면 되나요?,증빙자료는 사유 종료 후 7일 이내 반드시 제출 부탁드립니다.
행정,훈련장려금,단위기간동안 80% 이상 출석 시 훈련장려금(지원금)이 100% 수령 가능한가요?,훈련장려금 100% 수령하시려면 출석이 100%여야합니다.
행정,훈련장려금,주 15시간 미만 고용보험에 가입되면 훈련장려금 지급이 안되나요?,주 15시간 미만 근로 + 고용보험 가입 2가지가 충족되어야 훈련장려금 지급이 가능합니다.
행정,훈련장려금,알바를 주 15시간 이상해서 지급대상은 아니지만 곧 그만두게 되어 지급 대상에 해당합니다. 이런 경우 훈련장려금 지급은 다음 분기부터 가능한 것일까요?,"주 15시간 이상 근로 후 퇴사를 하실 경우 고용보험상실내역서를 운영진에게 제출해 주시고, 상실일을 기준으로 계산해서 지급이 될 예정입니다."
운영,출결 관련,"미리 잡혀있던 일정 때문에 오전에 출석만 하고 외출하려 하는데, 대답은 못하지만 강의는 휴대폰으로 들을 수 있습니다. 혹 이런 경우 외출 찍지 않고 수강 가능한가요?","수강 환경이 카메라를 키기 어려운 상황이라면 외출로 처리하시는 게 좋을 것 같아요!
외출 하시게 될 경우 4시간 미만으로 수강하시면 결석처리가 됩니다."
운영,출결 관련,화장실때문에 잠깐 자리 비율땐 누구한테 말씀드리면 되나요,모니터링 매니저 혹은 보조강사님께 사전에 공유해 주시면 됩니다.
운영,출결 관련,"지각, 외출 3번 카운트되는게 단위기간 별로 카운트인가요 아니면 6개월 전체 기준 카운트인가요?",단위기간 별로 카운트 됩니다.
운영,출결 관련,"수업 중 15분정도 줌에서 나가야 할 것 같다고 하는데, 따로 외출을 사용해야할까요?",해당건은 외출처리가 필요한 건이라 외출처리하셔야 됩니다.
행정,서류 요청,"수강증명서와 출석부 발급을 요청드렸는데, 언제 받아볼 수 있을까요?",신청하신 날로부터 2일 정도 소요됩니다.
행정,공결신청건,공결 신청 출결 반영이 언제쯤 되는지 알 수 있을까요?,공결신청 반영 및 승인까지는 최대 2주정도 소요될 수 있습니다.
행정,공결신청건,"제가 지난 2주동안 2일을 공결했는데, 아직 결석으로 남아있더라구요",공결신청 반영 및 승인까지는 최대 2주정도 소요될 수 있습니다.
행정,공결신청건,"제가 오전에 건강검진으로 외출을 신청하는데, 혹시 이부분은 공결신청서를 작성해야할까요?",건강검진은 공결 신청이 어렵습니다.
행정,공결신청건,"민방위가 있는데
4시간으로 잡혀있어서요.
서류 내면 하루 공결처리가능한건가요?",민방위 훈련 종료 후 서류 제출해 주시면 공결처리 가능합니다.
행정,공결신청건,회사에서 면접확인서를 제공하지 않는다고 해서 서류를 제출 못할거 같은데 그럼 어쩔수 없이 결석 처리가 될까요?,증빙서류 제출이 불가할 경우 공결처리가 불가합니다.
행정,훈련장려금,훈련장려금은 언제쯤 지급되는지 알 수 있을까요?,훈련장려금 지급일은 정확하지 않으며 신청일로부터 2주 소요될 수 있습니다!
행정,근로 관련,"주 15시간 미만으로 아르바이트를 중인데, 추가적으로 내야 할 서류가 있을까요?","주 15시간 미만 근로자이시면 고용보험가입이력 내역서, 근로계약서, 매 단위기간별 근로시간표를 운영진에게 제출해 주세요"
운영,출결 관련,"외출,지각등 3회가 되면 1회 결석으로 처리된다고 알고있는데, 이게 한 달이 지나면 리셋이 되는건가요? 아니면 날짜 상관없이 3회가 누적되면 결석 1회 처리가 되는건가요?",결석은 단위기간 별로 생각해 주시면 되시고 수료 기준은 전체기간에서 80% 이상 출석하셔야 된다고 생각해 주시면 됩니다
행정,근로 관련,근로시간표는 언제까지 보내드리면 될까요?,단위기간 마감 전까지 운영진에게 디엠으로 전달 부탁드립니다.
운영,출결 관련,테킷 웹 사이트 출결 현황에는 아직 결석으로 되어있어서요! 신경 안써도 되는걸까요?,"테킷 출결 현황은 실시간이 아니므로, HRD-Net 사이트에서 우선적으로 확인 부탁드립니다."
운영,출결 관련,병결 신청한 것도 단위 끝나기 전에는 공결로 업데이트 되는게 맞을까요?? 아직은 결석으로 나와있어서요! 3단위가 거의 끝나가서 혹시나 하고 여쭤봅니당 ㅠㅠ,hrd-net에서 정상적으로 반영되었다면 테킷 미반영은 신경쓰지 않으셔도 됩니다!
행정,공결신청건,국민취업지원제도 상담이 잡혀서 문의드립니다! 혹시 상담도 공결로 처리가 가능할까요??,국취제 상담은 공결처리가 어렵습니다.
행정,근로 관련,"용보험상실내역서를 발급 받으려고 했는데, 저는 일용직이라서 상실내역서 발급이 안된다고 하더라구요.","고용보험상실 내역 확인이 불가한 일용직근로자의 경우 해촉증명서 혹은 퇴직증명서 발급을 요청드리고 있습니다.
번거로우시겠지만 사업장에 해촉증명서 혹은 퇴직증명서 발행 요청 후 운영진에게 전달 부탁드립니다."
행정,공결신청건,"병원에 가야하는데,통원치료확인서(질병코드o) 도 제출 가능한가요??","통원증명서에도 방문날짜, 진단명, 병원직인, 본인 정보 등이 기재되어 있다면 가능합니다!"
운영,출결 관련,QR(큐알)을 찍으려고 하는데 오류가 발생했습니다. 어떻게 하면 될까요?,"시스템 오류가 발생했다는 핸드폰 화면 캡쳐(시간 나오도록), 줌 화면 캡쳐(눈,코,입 나오도록 조정) 해당 2건이 충족될 경우 정정이 가능합니다. 교육 행정 채널 스레드에 꼭 남겨주세요."
행정,공결신청건,회사면접이 있어서 강사님께 따로 디엠을 드렸고 면접을 봤는데 서류제출은 면접이 확인 되는 메일을 보내도 되는걸까요?,면접의 경우 면접확인서를 증빙자료로 제출해 주셔야 공결처리가 가능합니다.
행정,공결신청건,"예비군이 있는데, 1시 부터 진행합니다.
이런 경우엔 하루가 공결인지, 1시부터만 공결인지 궁금합니다.",예비군의 경우 하루 공결신청 가능합니다
운영,"출결, 기초클래스","기초클래스 온라인 출결 등록 시, 등록되지 않는 훈련생으로 떠서
온라인 출결 등록이 불가합니다. 어떻게 수정하면 될까요?","- 먼저 생년월일성별이 ex) 97010102 형태로 입력되어 있는지 확인해주세요.
- 훈련생성명, 훈련일자, 과정코드, 훈련과정회차에 문제가 없는지 확인해 주세요.
- 전부 이상이 없는데도 출결 등록이 불가할 경우 전산문제로 PA팀으로 문의해 주세요!"
행정,출결,"최근에 개강을 해서, 내일배움카드 이슈로 인해 금일 9시 넘어서 수강생 등록이 된 경우
금일자 출결을 정상 출결로 변경이 가능한 부분일까요?","내일배움카드 발급이 늦어져서 등록이 늦게 된 경우 정상 출결 정정은 어려우며, 늦게라도 QR 입실 체크를 해주셔야 합니다."
행정,출결,사랑니 발치도 공결 인정이 될까요?,"치과진료 항목(스케일링, 사랑니 발치, 치아 발치, 교정 등)은 공결 신청이 불가합니다."
행정,출결,"병원에서 당분간 입원 혹은 격리조치를 받았는데, 공결 신청을 위한 진단서를 매일 받아서 제출해야 되나요?","- 입원으로 인한 공결신청 시, 입퇴원확인서를 제출해 주시면 됩니다. "
행정,수료,몇 일 이상 출석해야 수료가 가능할까요?,- 전체 훈련일수에서 80%이상 출석을 하셔야 수료가 가능합니다.
행정,출결,단위기간에 결석은 몇 번 할 수 있나요?,"- 단위기간 일수에서 80% 이상 출석하셔야 훈련장려금 수령이 가능합니다.
- 예를 들어 단위기간 수업 일수가 18일이면 => 18 * 80% => 14.4(올림) => 15이상 출석해 주셔야 합니다."
행정,수료 후 취업,"수료일수를 다 채우고 취업을 하게 될 경우 어떻게 처리가 되는 걸까요?, 필요한 서류가 있을까요?","- 80% 이상 수업 수강 후 취업이 되실 경우 수료 후 취업으로 처리되며, 근로계약서와 중도포기 서약서를 제출해 주셔야 합니다. "
운영,노트북 반납,노트북 반납 절차는 어떻게 진행될까요?,"(한국렌탈에서 진행하는 경우, 아래와 같은 프로세스로 진행)
[노트북 반납 준비 프로세스]
- 운영진에게 반납 가능 일정 / 집 주소 / 연락처 공유
- 반납 일자에 맞춰 픽업 받았던 포장 그대로 포장 진행 (포장지 없을 경우 운영진에게 연락) → 포장 누락으로 인해 노트북 파손이 될 경우 본인에게 비용 청구됨
- 포장 후 반납 일자에 맞춰 노트북 회수 준비
- 배송기사님이 일자에 맞춰 노트북 회수
- 포장 후 반납 일자에 맞춰 노트북 회수 준비
- 배송기사님이 일자에 맞춰 노트북 회수

[운영진에게 전달할 사항 - 00월00일까지 공유해 주세요]
- 반납 가능한 주소 및 연락처
- 포장지 필요 여부 (포장지 분실로 인해 필요할 경우, 배송기사님이 포장지를 먼저 배송 후 픽업하실 예정)
- 배송일자 확인 : 00월 00일"
행정,출결,"외출이나 조퇴 지각 3번이 결석 1번으로 처리 되나요? 
외출 시간은 상관 없나요?","- 지각 + 조퇴 + 외출 = 3회 → 결석 1회와 같습니다.
- 지각,조퇴,외출의 경우 1일 훈련 시간의 50% 초과 시 결석 처리 됩니다."
행정,출결,이사의 경우 공결 처리 가능한가요?,"출석 인정 가능한 공결의 경우는 첨부한 사진과 같은 상황에만 공결 처리가 가능합니다!(공결인정사유 표 첨부)
이사의 경우에는 공결인정사유에 포함되지 않으므로 수업에 참여하지 못하시게 될 경우 결석/조퇴 등으로 처리 됩니다."
행정,"출결, 줌","9시에 입실QR은 찍었으나, 스크린샷 찍을 때 컴퓨터가 멈춰서 캠을 못켰어요.","항상 HRD QR이 가장 우선시 되며, 
QR확인 오류가 있거나 전산상으로 입/퇴실에 대한 증빙이 필요한 경우 줌 스크린샷이 가장 중요한 증빙자료로 쓰이고 있기에 스크린샷도 잘 찍어주셔야 합니다.
오늘 건은 입실 QR은 잘 찍어주셔서 해당 내용 남겨놓겠으나, 이후로는 누락되지 않도록 카메라 미리 확인 해주시어 스크린샷 잘 찍어주시길 바랍니다."
행정,"출결, OT","첫날 OT 참여가 어려운데, OT 날 출결도 동일하게 출석 반영이 되나요?
OT 관련 내용을 추가로 따로 안내 받을 수 있을까요?","OT 또한 수강기간에 포함 되기 때문에 결석 시, 결석 시, 출결에 동일하게 반영됩니다.
OT에 참여하지 못하신 분들은 따로 추가 OT 진행하고 있습니다."
운영,노트북 대여,"갖고있는 맥북이 고장났어요. 수리 기간이 일주일정도 소요된다고 하는데, 그동안 수업을 어떻게 들어야 할까요?","- 거주하시는 지역이 어디신가요? 
- 당사 방문하시어 맥북 대여를 해드릴 수 있는 상황입니다. 단기임대(최소 1개월)로도 대여진행이 가능합니다."
행정,"출결, 기초클래스","기초클래스 수강을 완료했는데, HRD에서 결석으로 뜹니다.",기초클래스의 경우 출결을 수기로 등록해야하기 때문에 출결 반영까지 최대 2주정도 소요될 수 있습니다.
행정,출결,A 단위기간 때 지각 2개 있다고 가정했을 때 B 단위기간 때 지각 1개 찍으면 B 단위기간때 결석 찍히는걸까요?,"세 번째 카운트 되는 시점의 단위기간에 적용됩니다. (예시의 경우, B 단위기간)"
행정,훈련장려금,지난 단위기간 훈련장려금은 언제 입금되나요?,훈련장려금 신청은 본 과정의 모든 훈련생의 출결 정정 및 근로 형태가 확인된 이후 진행되기 때문에 지급까지 최대 한 달이 소요될 수 있습니다.
행정,조기취업,과정 수강 중에 취업하게 되면 어떤 불이익이 있나요?,"조기취업으로 인한 중도포기 처리되며, 내일배움카드 잔액 차감 및 5년 이내 KDT 과정 수강이 불가합니다."
행정,출결,공결 몇 번까지 사용할 수 있나요?,"질병 공결에만 횟수가 제한되어 있고, 전체 훈련일수의 10%까지만 사용 가능합니다."
행정,출결,훈련장려금 수령 계좌를 변경하고 싶은데 어떻게 변경하나요?,행정 채널에 변경하고자 하는 은행과 계좌 번호를 행정 담당자님께 제출 부탁드립니다.
행정,출결,"예비군, 병원 방문 등으로 인한 공결은 출석률에 포함되는 건가요?",네. 공결은 정상출석과 동일하게 처리되기 때문에 출석률에 반영됩니다.
행정,출결,"HRD 앱으로 출석 진행하려고 하는데, 계속 오류가 발생해서 로그인이 불가합니다. 어떻게 해야할까요?","인증수단이 아닌 아이디로 로그인 시도, 어플 재설치 후 로그인 시도 부탁드립니다."
교육,해외수강,"교육 참여 중 해외 출국이 불가하다고 안내 받았는데, 교육 듣는 과정 중에 해외여행도 불가한가요?",결석 처리하시거나 휴강 및 주말 활용하여 해외여행 다녀오시는 건 가능합니다.
행정,출결,오늘 입실QR 찍는 걸 잊어서 정상 출석 처리가 안 될 것 같은데 입퇴실 스크린샷에 문제가 없다면 출석으로 출결정정 가능할까요?!,"개인 과실로 인해 발생한 입실 QR 누락이기 때문에 해당 건은 출결정정 불가합니다.
앞으로는 알람을 맞춰두시는 등 누락 없도록 QR체크 잘 부탁드립니다! : )"
행정,국민취업지원제도,국민취업제도장려금이랑 훈련장려금을 동시에 받을 수 있나요 ?,네. 국민취업제도 (국취제) 장려금과 훈련장려금은 별도이기에 동시에 받으실 수 있으십니다.
행정,출결,오늘 입실을 정상적으로 했는데 HRD 어플 내 에서는 결석으로 나와요,당일 출결의 경우 퇴실까지 완전하게 찍혀야 당일 출결이 출석으로 인정됩니다 . 아직 수업 중이시면 결석으로 나오는게 정상입니다 :) 
행정,해외수강,해외 여행을 가지만 수업시간 내 일정이 없어 참여가 가능할 거 같은데 참여해도 될까요 ?,KDT 교육과정은 국내에서만 제공 되는 교육과정이기에 해외에서는 절대적으로 접속이 불가합니다 . 해외에서 접속하셔서 이에 따른 불이익은 당사자 본인에게 있습니다
행정,출결,훈련 중 이동을 하게 되면 어떻게 해야 하나요?,KDT 훈련 중 장소 이동은 불가합니다. 장소이동이 불가피한 상황이시라면 담당 교육 매니저께 내용을 먼저 말씀해주셔야 불이익이 발생하지 않습니다.
